subsector_ciiu,creadas_2024_H1,creadas_2025_H1,variacion_pct,contribucion_pp,fuente
Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas,64500,66626,3.3,1.3,Confecamaras_2025_H1
Otras actividades de servicios,8571,9324,8.8,0.5,Confecamaras_2025_H1
Alojamiento y servicios de comida,28946,29577,2.2,0.4,Confecamaras_2025_H1
Agricultura ganaderia caza silvicultura y pesca,2932,3401,16.0,0.3,Confecamaras_2025_H1
Actividades inmobiliarias,3161,3445,9.0,0.2,Confecamaras_2025_H1
Actividades de atencion de la salud humana y de asistencia social,2687,2887,7.4,0.1,Confecamaras_2025_H1
Educacion,1567,1630,4.0,0.0,Confecamaras_2025_H1
Informacion y comunicaciones,3456,3490,1.0,0.0,Confecamaras_2025_H1
Actividades financieras y de seguros,1465,1476,0.8,0.0,Confecamaras_2025_H1
Explotacion de minas y canteras,461,472,2.4,0.0,Confecamaras_2025_H1
Suministro de electricidad gas vapor y aire acondicionado,215,225,4.7,0.0,Confecamaras_2025_H1
Actividades de los hogares,24,22,-8.3,0.0,Confecamaras_2025_H1
Administracion publica y defensa,66,54,-18.2,0.0,Confecamaras_2025_H1
Distribucion de agua y gestion de desechos,877,857,-2.3,0.0,Confecamaras_2025_H1
Actividades profesionales cientificas y tecnicas,10931,10907,-0.2,0.0,Confecamaras_2025_H1
Actividades artisticas de entretenimiento y recreacion,3645,3600,-1.2,0.0,Confecamaras_2025_H1
Transporte y almacenamiento,4576,4476,-2.2,-0.1,Confecamaras_2025_H1
Actividades de servicios administrativos y de apoyo,8014,7872,-1.8,-0.1,Confecamaras_2025_H1
Industrias manufactureras,17037,16498,-3.2,-0.3,Confecamaras_2025_H1
Construccion,7486,6869,-8.2,-0.4,Confecamaras_2025_H1
No clasificado,124,199,60.5,0.0,Confecamaras_2025_H1
