anio,poblacion_total,poblacion_cabecera,poblacion_centros_poblados_rural
2018,48258494,36414521,11843973
2019,49266526,37219289,12047237
2020,50390790,38130362,12260428
2021,51115637,38710371,12405266
2022,51643565,39130235,12513330
2023,52117067,39507801,12609266
2024,52613753,39903699,12710054
2025,53057212,40257670,12799542
2026,53399171,40529928,12869243
2027,53712233,40780305,12931928
2028,54001502,41013047,12988455
2029,54269406,41230152,13039254
2030,54518223,41433450,13084773
2031,54747818,41622803,13125015
2032,54958383,41798254,13160129
2033,55149988,41959831,13190157
2034,55322674,42107416,13215258
2035,55476504,42240962,13235542
2036,55611578,42360507,13251071
2037,55728042,42465960,13262082
2038,55826079,42557411,13268668
2039,55905896,42634922,13270974
2040,55967762,42698613,13269149
2041,56011924,42748598,13263326
2042,56038651,42785014,13253637
2043,56048194,42807985,13240209
2044,56040786,42817638,13223148
2045,56016662,42814104,13202558
2046,55976045,42797516,13178529
2047,55919179,42768019,13151160
2048,55846298,42767058,13079240
2049,55757657,42712853,13044804
2050,55653490,42646221,13007269
2051,55534043,,
2052,55399539,,
2053,55250202,,
2054,55086260,,
2055,54907921,,
2056,54715374,,
2057,54508782,,
2058,54288293,,
2059,54054043,,
2060,53806118,,
2061,53544613,,
2062,53269610,,
2063,52981169,,
2064,52679381,,
2065,52364311,,
2066,52036013,,
2067,51694579,,
2068,51340058,,
2069,50972537,,
2070,50592097,,
