edad,hombres,mujeres,total
0,226571,215490,442061
1,230751,219386,450137
2,235042,223404,458446
3,239427,227517,466944
4,243904,231716,475620
5,248484,236017,484501
6,253173,240428,493601
7,257973,244942,502915
8,262917,249594,512511
9,268006,254385,522391
10,273258,259332,532590
11,278681,264449,543130
12,284279,269734,554013
13,290032,275181,565213
14,295947,280797,576744
15,301973,286558,588531
16,308104,292443,600547
17,314291,298427,612718
18,320496,304452,624948
19,326675,310488,637163
20,332792,316483,649275
21,338791,322385,661176
22,344634,328163,672797
23,350272,333762,684034
24,355664,339160,694824
25,361085,344598,705683
26,365828,349428,715256
27,369737,353516,723253
28,373441,357454,730895
29,377615,361831,739446
30,383010,367241,750251
31,384503,369015,753518
32,389544,373745,763289
33,392349,378614,770963
34,395558,381782,777340
35,398802,385061,783863
36,401347,388770,790117
37,404089,392503,796592
38,407005,396269,803274
39,410624,399619,810243
40,414360,403293,817653
41,418179,407547,825726
42,422214,412554,834768
43,426358,417466,843824
44,426228,417963,844191
45,425750,418446,844196
46,424524,419637,844161
47,423624,421583,845207
48,423566,424292,847858
49,424254,427284,851538
50,420294,428983,849277
51,416425,429602,846027
52,412767,429082,841849
53,409866,424850,834716
54,407356,421613,828969
55,404148,418480,822628
56,397629,412915,810544
57,387068,404492,791560
58,374993,393881,768874
59,362710,382461,745171
60,350186,371320,721506
61,337776,359974,697750
62,324608,350801,675409
63,314296,342596,656892
64,304611,335766,640377
65,296351,328997,625348
66,289276,324661,613937
67,281619,320084,601703
68,272744,313567,586311
69,263767,305394,569161
70,252461,295632,548093
71,239722,282155,521877
72,225275,269617,494892
73,212214,255740,467954
74,198175,243185,441360
75,187092,231696,418788
76,177805,222528,400333
77,169102,213887,382989
78,160615,205597,366212
79,152463,197922,350385
80,143859,189818,333677
81,134825,179387,314212
82,124575,169395,293970
83,114939,157958,272897
84,104383,146578,250961
85,94169,134114,228283
86,83756,121492,205248
87,73368,108236,181604
88,63164,94688,157852
89,53468,81760,135228
90,44474,69553,114027
91,36663,58258,94921
92,29790,48384,78174
93,23946,39434,63380
94,18868,31634,50502
95,14701,24782,39483
96,11202,19038,30240
97,8344,14265,22609
98,6084,10458,16542
99,4348,7504,11852
100+,6038,10963,17001
